===== 1. Tables =====

TABLE_NAME                    |  NUM_ROWS|LAST_ANAL
------------------------------|----------|---------
ABIS_INI                      |        67|24-JUN-26
ABIS_RELEASE                  |     20414|24-JUN-26
ABIS_SCRAP_STATUS_X12         |         3|24-JUN-26
ABIS_SCRAP_TYPE_X12           |         8|24-JUN-26
ABIS_X12_COIL                 |         9|24-JUN-26
ABIS_X12_SKID                 |        11|24-JUN-26
AB_AUDIT                      |         0|18-MAR-19
AB_JOB                        |     97390|24-JUN-26
AB_JOB_870_HISTORY            |      4566|24-JUN-26
AB_JOB_STATUS_DESC            |         5|24-JUN-26
ALCAN_COIL_RETEST_DATE        |      6045|13-MAR-11
ALEX1                         |         2|24-JUN-26
ALLOY_DENSITY                 |        41|13-MAR-11
ALLOY_HEAT_TREATMENT          |       248|24-JUN-26
ALLOY_TYPE                    |        45|13-MAR-11
ALPHABET                      |        26|24-JUN-26
APP_MAIN_MENU                 |         0|13-MAR-11
AUTO_REPORT_CUSTOMERS         |        47|24-JUN-26
AUTO_REPORT_EMAILS            |       212|24-JUN-26
AUTO_REPORT_RUN_LOG           |    227357|24-JUN-26
AUTO_REPORT_SCHEDULE          |       120|24-JUN-26
BARCODE_STRING                |         0|31-OCT-17
BILLTO_ALBL_EMAIL             |         1|24-JUN-26
CARRIER                       |      1004|13-MAR-11
CCARD                         |         0|13-MAR-11
CERT_LABEL_CUSTOMER           |         3|24-JUN-26
CERT_LABEL_CUSTOMERS          |         3|24-JUN-26
CERT_LABEL_DATA_ELEMENTS      |        70|24-JUN-26
CERT_LABEL_SHIPTO_NAME        |         2|24-JUN-26
CHEMICAL_ELEMENTS             |       118|24-JUN-26
CHEVRON                       |      1316|24-SEP-12
CIRCLE                        |       543|13-MAR-11
COIL                          |    149563|24-JUN-26
COILS_WEIGHT_ZEROED_OUT       |         0|24-JUN-26
COIL_EVAL_SHEET_DETAIL        |        61|24-JUN-26
COIL_EVAL_SHEET_DETAIL2       |        56|24-JUN-26
COIL_EVAL_SHEET_DETAIL3       |        56|24-JUN-26
COIL_EVAL_SHEET_HEADER        |        68|24-JUN-26
COIL_EVAL_SHEET_SCRAP         |        77|24-JUN-26
COIL_LOG                      |         2|13-MAR-11
COIL_LUBE_WEIGHT              |      1261|13-MAR-11
COIL_OWNERSHIP_TRANSFER       |         0|27-FEB-17
COIL_QUALITY                  |      6871|24-JUN-26
COIL_QUALITY_FLAW_MAPPING     |      6074|24-JUN-26
COIL_RECEIVING                |         0|13-MAR-11
COIL_STATUS                   |        15|24-JUN-26
COIL_TRACK                    |     93468|16-FEB-12
COIL_TRACK_QA                 |         0|13-MAR-11
CUSTOMER                      |      1973|24-JUN-26
CUSTOMER_CONTACT              |        63|13-MAR-11
CUSTOMER_CUSTOMER             |         7|13-MAR-11
CUSTOMER_CUSTOMER_EDI_CODE    |         4|24-JUN-26
